127.0.0.1 - - [13/Mar/2026:14:15:48 -0300] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /tomcat.css HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /asf-logo-wide.svg HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [13/Mar/2026:14:16:29 -0300] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/security-howto.html HTTP/1.1" 200 41717
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/images/tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/images/docs-stylesheet.css HTTP/1.1" 200 6082
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/images/asf-logo.svg HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/images/fonts/fonts.css HTTP/1.1" 200 1996
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/images/fonts/OpenSans400.woff HTTP/1.1" 200 21956
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/images/fonts/OpenSans600.woff HTTP/1.1" 200 22604
0:0:0:0:0:0:0:1 - - [13/Mar/2026:16:06:08 -0300] "GET /docs/images/fonts/OpenSans700.woff HTTP/1.1" 200 22748
